Title,Empirical Contribution,Artifact Contribution,Methodological Contribution,Theoretical Contribution,Dataset Contribution,Meta Review Contribution,Programming,Responsible Computing,Reliability and Validity of LLMs,Accessibility & Aging,Well-being & Health,Communication/Writing,Design,Creativity,Education,Augmenting human capabilities,LLMs as system engines,LLMs as research tools,LLMs as participants & users,LLMs as objects of study,Users' perceptions of LLMs
Memoro: Using Large Language Models to Realize a Concise Interface for Real-Time Memory Augmentation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
LLMR: Real-time Prompting of Interactive Worlds using Large Language Models,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Supporting Sensemaking of Large Language Model Outputs at Scale,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Personalized Quest and Dialogue Generation in Role-Playing Games: A Knowledge Graph- and Language Model-based Approach,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Towards Designing a Question-Answering Chatbot for Online News: Understanding Questions and Perspectives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Comparing Sentence-Level Suggestions to Message-Level Suggestions in AI-Mediated Communication,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
PopBlends: Strategies for Conceptual Blending with Large Language Models,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Rambler: Supporting Writing With Speech via LLM-Assisted Gist Manipulation,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
AngleKindling: Supporting Journalistic Angle Ideation with Large Language Models,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Intelligent Support Engages Writers Through Relevant Cognitive Processes,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
ChaCha: Leveraging Large Language Models to Prompt Children to Share Their Emotions about Personal Events,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
DiaryMate: Understanding User Perceptions and Experience in Human-AI Collaboration for Personal Journaling,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Think Fast, Think Slow, Think Critical: Designing an Automated Propaganda Detection Tool",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Impact of Multiple Parallel Phrase Suggestions on Email Input and Composition Behaviour of Native and Non-Native English Writers,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The HaLLMark Effect: Supporting Provenance and Transparent Use of Large Language Models in Writing with Interactive Visualization,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PANDALens: Towards AI-Assisted In-Context Writing on OHMD During Travels,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TaleBrush: Sketching Stories with Generative Pretrained Language Models,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Writer-Defined AI Personas for On-Demand Feedback Generation,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Know Your Audience: The benefits and pitfalls of generating plain language summaries beyond the ""general"" audience",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
VirtuWander: Enhancing Multi-modal Interaction for Virtual Tour Guidance through Large Language Models,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Luminate: Structured Generation and Exploration of Design Space with Large Language Models for Human-AI Co-Creation,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
How AI Processing Delays Foster Creativity: Exploring Research Question Co-Creation with an LLM-based Agent,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Co-Writing Screenplays and Theatre Scripts with Language Models: Evaluation by Industry Professionals,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Jigsaw: Supporting Designers to Prototype Multimodal Applications by Chaining AI Foundation Models,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Automatic Macro Mining from Interaction Traces at Scale,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
C2Ideas: Supporting Creative Interior Color Design Ideation with a Large Language Model,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
PlantoGraphy: Incorporating Iterative Design Process into Generative Artificial Intelligence for Landscape Rendering,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
From Paper to Card: Transforming Design Implications with Generative AI,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Co-Designing QuickPic: Automated Topic-Specific Communication Boards from Photographs for AAC-Based Language Instruction,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
EmoEden: Applying Generative Artificial Intelligence to Emotional Learning for Children with High-Function Autism,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Mathemyths: Leveraging Large Language Models to Teach Mathematical Language through Child-AI Co-Creative Storytelling,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
ChatScratch: An AI-Augmented System Toward Autonomous Visual Programming Learning for Children Aged 6-12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Scientific and Fantastical: Creating Immersive, Culturally Relevant Learning Experiences with Augmented Reality and Large Language Models",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
A Piece of Theatre: Investigating How Teachers Design LLM Chatbots to Assist Adolescent Cyberbullying Education,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Teach AI How to Code: Using Large Language Models as Teachable Agents for Programming Education,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Designing Scaffolding Strategies for Conversational Agents in Dialog Task of Neurocognitive Disorders Screening,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Putting Things into Context: Generative AI-Enabled Context Personalization for Vocabulary Learning Improves Learning Motivation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Open Sesame? Open Salami! Personalizing Vocabulary Assessment-Intervention for Children via Pervasive Profiling and Bespoke Storybook Generation,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Farsight: Fostering Responsible AI Awareness During AI Application Prototyping,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Generative Echo Chamber? Effect of LLM-Powered Search Systems on Diverse Information Seeking,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Why Johnny Can't Prompt: How Non-AI Experts Try (and Fail) to Design LLM Prompts,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Learning Agent-based Modeling with LLM Companions: Experiences of Novices and Experts Using ChatGPT & NetLogo Chat,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ReactGenie: A Development Framework for Complex Multimodal Interactions Using Large Language Models,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Stylette: Styling the Web with Natural Language,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
AQuA: Automated Question-Answering in Software Tutorial Videos with Visual Anchors,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
How Beginning Programmers and Code LLMs (Mis)read Each Other,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ChainForge: A Visual Toolkit for Prompt Engineering and LLM Hypothesis Testing,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Discovering the Syntax and Strategies of Natural Language Programming with Generative Language Models,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DirectGPT: A Direct Manipulation Interface to Interact with Large Language Models,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ivie: Lightweight Anchored Explanations of Just-Generated Code,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
How Do Analysts Understand and Verify AI-Assisted Data Analyses?,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CoPrompt: Supporting Prompt Sharing and Referring in Collaborative Natural Language Programming,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"""What It Wants Me To Say"": Bridging the Abstraction Gap Between End-User Programmers and Code-Generating Large Language Models",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Facilitating Self-Guided Mental Health Interventions Through Human-Language Model Interaction: A Case Study of Cognitive Restructuring,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MindfulDiary: Harnessing Large Language Model to Support Psychiatric Patients' Journaling,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Integrating Expertise in LLMs: Crafting a Customized Nutrition Assistant with Refined Template Instructions,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Understanding the Role of Large Language Models in Personalizing and Scaffolding Strategies to Combat Academic Procrastination,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Surgment: Segmentation-enabled Semantic Search and Creation of Visual Question and Feedback to Support Video-Based Surgery Learning,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Human-Algorithmic Interaction Using a Large Language Model-Augmented Artificial Intelligence Clinical Decision Support System,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MindShift: Leveraging Large Language Models for Mental-States-Based Problematic Smartphone Use Intervention,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Harnessing Biomedical Literature to Calibrate Clinicians’ Trust in AI Decision Support Systems,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CodeAid: Evaluating a Classroom Deployment of an LLM-based Programming Assistant that Balances Student and Educator Needs,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
AI Chains: Transparent and Controllable Human-AI Interaction by Chaining Large Language Model Prompts,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Synthetic Lies: Understanding AI-Generated Misinformation and Evaluating Algorithmic and Human Solutions,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Enhancing UX Evaluation Through Collaboration with Conversational AI Assistants: Effects of Proactive Dialogue and Timing,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
ContextCam: Bridging Context Awareness with Creative Human-AI Image Co-Creation,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
VIVID: Human-AI Collaborative Authoring of Vicarious Dialogues from Lecture Videos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
A Mixed-Methods Approach to Understanding User Trust after Voice Assistant Failures,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AI-Driven Mediation Strategies for Audience Depolarisation in Online Debates,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Multimodal Healthcare AI: Identifying and Designing Clinically Relevant Vision-Language Applications for Radiology,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Narrating Fitness: Leveraging Large Language Models for Reflective Fitness Tracker Data Interpretation,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
“It's the only thing I can trust”: Envisioning Large Language Model Use by Autistic Workers for Communication Assistance,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"""The less I type, the better"": How AI Language Models can Enhance or Impede Communication for AAC Users",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Unlock Life with a Chat(GPT): Integrating Conversational AI with Large Language Models into Everyday Lives of Autistic Individuals,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Evaluating Large Language Models on Academic Literature Understanding and Review: An Empirical Study among Early-stage Scholars,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"""If the Machine Is As Good As Me, Then What Use Am I?"" - How the Use of ChatGPT Changes Young Professionals' Perception of Productivity and Accomplishment",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Directed Diversity: Leveraging Language Embedding Distances for Collective Creativity in Crowd Ideation,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"The Role of Inclusion, Control, and Ownership in Workplace AI-Mediated Communication",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Social Dynamics of AI Support in Creative Writing,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Co-Writing with Opinionated Language Models Affects Users' Views,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Debate Chatbots to Facilitate Critical Thinking on YouTube: Social Identity and Conversational Style Make A Difference,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Shaping Human-AI Collaboration: Varied Scaffolding Levels in Co-writing with Language Models,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"The Value, Benefits, and Concerns of Generative AI-Powered Assistance in Writing",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Choice Over Control: How Users Write with Large Language Models using Diegetic and Non-Diegetic Prompting,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
From Text to Self: Users' Perception of AIMC Tools on Interpersonal Communication and Self,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
AI-Augmented Brainwriting: Investigating the use of LLMs in group ideation,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Embodying the Algorithm: Exploring Relationships with Large Language Models Through Artistic Performance,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Designerly Understanding: Information Needs for Model Transparency to Support Design Ideation for AI-Powered User Experience,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
More than Model Documentation: Uncovering Teachers' Bespoke Information Needs for Informed Classroom Integration of ChatGPT,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Testing, Socializing, Exploring: Characterizing Middle Schoolers' Approaches to and Conceptions of ChatGPT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Teachers, Parents, and Students' perspectives on Integrating Generative AI into Elementary Literacy Education",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"The Promise and Peril of ChatGPT in Higher Education: Opportunities, Challenges, and Design Implications",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Evaluating the Experience of LGBTQ+ People Using Large Language Model Based Chatbots for Mental Health Support,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Silver-Tongued and Sundry: Exploring Intersectional Pronouns with ChatGPT,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"“It's a Fair Game”, or Is It? Examining How Users Navigate Disclosure Risks and Benefits When Using LLM-Based Conversational Agents",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Understanding Underground Incentivized Review Services,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Do You Mind? User Perceptions of Machine Consciousness,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"""As an AI language model, I cannot"": Investigating LLM Denials of User Requests",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bridging the Gulf of Envisioning: Cognitive Challenges in Prompt Based Interactions with LLMs,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Understanding the Impact of Long-Term Memory on Self-Disclosure with Large Language Model-Driven Chatbots for Public Health Intervention,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BLIP: Facilitating the Exploration of Undesirable Consequences of Digital Technologies,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A Design Space for Intelligent and Interactive Writing Assistants,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Advancing Patient-Centered Shared Decision-Making with AI Systems for Older Adult Cancer Patients,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
